Query,label
free 1 pm thursday join weimar machine learning algorithms,1
can please cancel weimar registration blockchain basis event friday,1
who else participating cloud computing essentials weimar have schedule next monday,1
where can find link join internet things weimar have schedule tomorrow,1
company holidays coming next week,1
when federal holiday memorial day year,1
can create event companys summer party july th,1
let check have coming holiday january st.,1
who participants christmas office gathering year,1
where location labor day picnic year,1
can cancel vacation time coming martin luther king jr. day,1
what time does new years eve party start finish,1
free christmas day family gathering,1
when did have independence day last year,1
what coming conferences office events,1
can create new conference event title teach summit 2022 august st grand hotel,1
event called team office schedule week,1
what time location office event next monday,1
who else invited event product launch conference friday,1
free meeting 2 pm 3 pm next tuesday considering events location,1
hey assistant what coming deadline week,1
can help set reminder project proposal due date next month,1
event marked deadline calendar today,1
what time assignment due tomorrow,1
who else participating meeting deadline,1
where did set presentation due date next week,1
can have summary deadline next 30 days,1
free tuesday 2 pm do have deadline,1
lets cancel event labelled final exam submission calendar.,1
what details deadline event title tax return,1
hey assistant what blocked time focus events do have schedule next week,1
can create onehour blocked time event title project x starting 9 tomorrow,1
when blocked time event john report due,1
blocked time event schedule 3 pm thursday,1
assistant can edit blocked time event sarah schedule next tuesday instead,1
what details focus time event meeting team happening today,1
free 24 pm friday do have blocked time event period,1
hey assistant what coming team events week,1
can check theres stand schedule tomorrow 3 pm,1
create new retropective event next tuesday 4 pm.,1
possible cancel introspective event thursday,1
who participating team event friday 2 pm,1
where stand meeting taking place afternoon,1
free 10 wednesday oneonone meeting,1
what personal events do have next tuesday,1
can create event class thursday 6 pm,1
do have personal events weekend,1
lets cancel dinner john next saturday please.,1
where meeting sarah schedule next week,1
free call 2 pm wednesday,1
when where travel paris starting,1
what time does personal event flex begin monday,1
who else invited lunch event friday,1
can schedule appointment dentist next thursday 4 pm,1
hey assistant do have calendar invites external people week,1
can check pending external event invitations next month,1
how creating event calendar lets say meeting john marketing team thursday 3 pm,1
assistant can see details event title meeting jane finance specifically when where schedule.,1
calendar invite external people 4 pm tomorrow want make sure im free time.,1
can help cancel meeting sam sales wednesday 2 pm,1
assistant when does meeting client schedule edit next friday 10,1
hey assistant do have office events schedule next week,1
can create office entry th month please,1
office event august what details,1
when next office event who else participating,1
free meeting 3 pm tomorrow do have office entry,1
hey assistant what crosstimezone meetings next week,1
can schedule meeting team london sunday 3 pm local time,1
changes meeting have schedule new york tomorrow,1
what time does call tokyo start considering time zone difference,1
who participating meeting schedule afternoon california,1
free quick call 2 pm get monday,1
can cancel meeting sydney thats set tomorrow morning,1
where conference call located have 10 eastern time tomorrow,1
when does rescheduled meeting paris start assistant,1
what duration meeting lumbar last tuesday,1
what tentative events next week,1
can check team meeting friday still pending,1
lets set tentative lunch date john next tuesday 1 pm.,1
tentative event schedule afternoon,1
what details pending appointment doctor thursday,1
free call 4 pm tomorrow do have tentative events,1
can cancel tentative meeting client wednesday,1
when where tentatively schedule presentation week,1
edit pending meeting sarah friday instead thursday.,1
what pending events rest month,1
what followup tasks tomorrow,1
can remind call john regarding meeting next week,1
do have postmeeting reminders schedule today,1
where followup meeting smith team located friday 3 pm,1
conflicts schedule 2 pm 4 pm wednesday,1
can help schedule followup call client next thursday 10,1
what events do have friday related followup postmeetings,1
lets cancel followup meeting schedule tomorrow jane.,1
when next schedule postmeeting reminder,1
who participants followup call 2 pm thursday,1
what rep statutes coming events next week,1
can check ive responded event friday smith residence,1
lets create event team meeting next tuesday set tentative.,1
need decline event park weekend please update rep declined.,1
when dinner party johnsons place whats rep status,1
conflicts calendar july th want know im free.,1
who else attending conference new york next month need contact details.,1
where networking event taking place thursday night what time should arrive,1
can remind meeting client next week let know im able make,1
what details workshop marked accepted last month,1
what meeting invites do have next week,1
can schedule meeting john 3 pm tuesday one hour,1
did receive meeting invites yesterday,1
how can decline meeting invite conference call thursday,1
who participating meeting schedule tomorrow 10,1
where meeting marketing team located friday afternoon,1
free take call 2 pm 4 pm today,1
what appointments next tuesday,1
can create appointment meeting john thursday 3 pm,1
appointment schedule today,1
lets cancel 9 appointment tomorrow.,1
where appointment sarah schedule,1
who else will attending meeting 2 pm wednesday,1
free 11 friday,1
what time does appointment doctor start,1
edit appointment flex one hour later.,1
show appointments last week.,1
what reminders do have today,1
set reminder dentist appointment wednesday 3 pm.,1
can cancel meeting john schedule thursday noon,1
who participating team meeting next tuesday 10,1
where conference call clients located friday 2 pm,1
free call 4 pm tomorrow,1
hey assistant what coming birthdays week,1
can create new event johns birthday august,1
birthday event schedule next sunday 7 pm,1
who invited birthday party have schedule next month,1
where cousins birthday dinner located saturday,1
free december showing events,1
can edit sarahs birthday event instead th,1
let check can cancel birthday party schedule tomorrow,1
when friends birthday think october,1
can remind hour nieces birthday party,1
what date time son trophy,1
where son trophy held,1
conflict schedule son trophy,1
th march 2025 0830 go room new first year block case annexed rep statusrelated queried,1
th march 2025 0830 go room new first year block case annexed schelling setting reminders event,1
th march 2025 0830 go room new first year block case annexed edifying moving concealing event,1
what time science exhibition march 2025,1
where science exhibition march 2025,1
science exhibition march 2025,1
can change date submission event february 2025 1000 library,1
how do set recurring submission event every month 1000 library,1
can send email reminder submission event february 2025 1000 library,1
march 2025 1000 school playground sports meet,1
how often does sports meet happen,1
can share sports meet details friends,1
how do move loss hack event rd january,1
can remind bring lawton loss hack event january,1
how do cancel loss hack event january,1
what date time submission event,1
can set reminder submission event,1
who venue submission event,1
what time independence day august 2025,1
where independence day event happening august 2025,1
can get reminder independence day event august 2025,1
march 2025 1000 blood donation camp venue,1
send invites blood donation camp march 2025 1000,1
reminder blood donation camp march 2025 1000,1
what time meg quit feb 2025,1
event happening mavra geography feb 2025,1
can get reminder meg quit feb 2025,1
february 2025 1030 public sector innovation challenge venue nail,1
what time public sector innovation challenge february 2025,1
where public sector innovation challenge happening february 2025,1
can remind public sector innovation challenge february 2025 1030,1
can send email public sector innovation challenge february 2025 1030,1
can move public sector innovation challenge 1030 different time february 2025,1
can cancel public sector innovation challenge february 2025 1030,1
can provide information public sector innovation challenge february 2025 1030,1
can help find who organizing public sector innovation challenge february 2025 1030,1
can give list speakers public sector innovation challenge february 2025 1030,1
what time meal25,1
conflict meeting april 930,1
can invite friends meal25,1
march 2025 1000 seminar hall invite,1
march 2025 1000 seminar hall conflict,1
march 2025 1000 seminar hall,1
how do send invites event pipes vision models february 2025 200 pm case seminar hall,1
can help manage recurring events how do set reminder event pipes vision models february 2025 200 pm case seminar hall,1
how do modify event pipes vision models february 2025 200 pm case seminar hall can change date time,1
march 2025 1000 national workshop fundamentals machine learning deep learning,1
rep status march 2025 1000 national workshop fundamentals machine learning deep learning,1
modify march 2025 1000 national workshop fundamentals machine learning deep learning different venue.,1
what time meeting firstyear student representatives th february 2025,1
where meeting firstyear student representatives th february 2025,1
can send invites meeting firstyear student representatives th february 2025,1
can set reminder radioverse hardware project exit february 2025 1100,1
recurring event radioverse hardware project exit,1
schelling conflicts radioverse hardware project exit february 2025 1100,1
anything happening march th 2025 1000,1
can tell encender project exit event,1
how do manage recurring events like encender project exit,1
what time general announcement must february 2025,1
where general announcement happening must february 2025,1
who invited general announcement must february 2025,1
what time guest lecture robotics,1
can set reminder guest lecture robotics,1
guest lecture robotics recurring event,1
how often kollywood quit held,1
what time kollywood quit march 2025,1
conflict event march 2025 1230 pm,1
11 march 2026 1000 research block intercollegiate business plan competition ideas matter,1
conflict schedule 11 march 2026 1000 research block,1
can share details intercollegiate business plan competition ideas matter colleagues,1
what time expert guest lecture artificial intelligence future,1
can send invites expert guest lecture artificial intelligence future,1
how do set reminder expert guest lecture artificial intelligence future,1
how do set reminder 24hour hackathon challenge 04 march 2027 1000,1
can send invites 24hour hackathon challenge 04 march 2027 1000 conference hall,1
how do manage recurring events like 24hour hackathon challenge,1
what time cybersecurity awareness week protecting digital frontiers 24 november 2026,1
conflict schedule 24 november 2026 1000 cybersecurity awareness week protecting digital frontiers,1
can send invite cybersecurity awareness week protecting digital frontiers 24 november 2026 1000 conference hall,1
what date time industry connect 2026,1
where industry connect 2026 held,1
schelling conflict industry connect 2026,1
11 august 2026 1000 innovation lab women teach conference 2026 empowering future innovations,1
check conflicts schedule 11 august 2026 1000,1
can share details women teach conference 2026 empowering future innovations colleagues,1
what date time national level technical symposium emerging technologies,1
where national level technical symposium emerging technologies held,1
dress code national level technical symposium emerging technologies,1
how often does robotics workshop handson training ai integration take place,1
conflict appointment 13 june 2027 1000,1
can set reminder robotics workshop handson training ai integration 13 june 2027 1000,1
22 september 2027 1000 innovation lab rep status,1
22 september 2027 1000 innovation lab set reminder,1
22 september 2027 1000 innovation lab check schedule conflict,1
what date time national ai seminar,1
where national ai seminar held,1
can register national ai seminar,1
anything else happening 30 june 2027 1000,1
can change date time literary felt 2026,1
can invite people literary felt 2026,1
green energy summit 2026 happening april 1000,1
can see schedule green energy summit 2026,1
what location green energy summit 2026,1
what time theatrical drama performance march 2026,1
where theatrical drama performance taking place march 2026,1
can change date theatrical drama performance march 2026 march must 2026,1
22 july 2026 1000 library conference room rep status,1
22 july 2026 1000 library conference room ambiguous,1
22 july 2026 1000 library conference room asking time date location,1
29 april 2026 1000 student activity center literary felt 2026,1
move literary felt 2026 different date time,1
cancel literary felt 2026 send email everyone who registered,1
how do send invites robotics workshop handson training ai integration 24 december 2026 1000 library conference room,1
can remind robotics workshop handson training ai integration 24 december 2026 1000 library conference room,1
can modify date time robotics workshop handson training ai integration 24 december 2026 1000 25 december 2026 1000 library conference room,1
how do schedule reminder annual music night,1
can tell date time annual music night,1
how do find location annual music night,1
what date green energy summit 2026,1
green energy summit 2026 happening research block,1
what time does green energy summit 2026 start,1
how do invite people green energy summit 2026,1
what time green energy summit 2026,1
where green energy summit 2026 held,1
30 march 2027 1000 innovation lab international science fair exploring wonders innovation,1
how do manage recurring events like international science fair,1
can send invites international science fair exploring wonders innovation,1
what time 24hour hackathon challenge starting,1
where 24hour hackathon challenge held,1
can register 24hour hackathon challenge,1
conflict meeting schedule 900 04 december 2026,1
can remind bring pencils erases mathematics olympiad brain tears championship 04 december 2026 1000 conference hall,1
can set reminder arrive early mathematics olympiad brain tears championship 04 december 2026 1000 conference hall,1
27 january 2026 1000 mathematics olympiad brain tears championship research block rep status,1
schelling conflict mathematics olympiad brain tears championship 27 january 2026 1000 research block,1
how do manage recurring events like mathematics olympiad brain tears championship,1
30 may 2027 1000 mathematics olympiad brain tears championship innovation lab invite,1
how often does mathematics olympiad brain tears championship happen,1
can send location mathematics olympiad brain tears championship,1
10 september 2026 1000 research block grand calumny meet 2026,1
send invites grand calumny meet 2026,1
remind grand calumny meet 2026 10 september 2026 1000 research block,1
15 april 2027 1000 main auditoriums check schelling conflicts,1
15 april 2027 1000 main auditoriums modify event time,1
15 april 2027 1000 main auditoriums rep status,1
04 october 2026 1000 research block started pitch felt 2026 turning ideas reality,1
can send invites started pitch felt 2026 turning ideas reality event,1
what rep status started pitch felt 2026 turning ideas reality event,1
25 july 2027 1000 mathematics olympiad brain tears championship conference hall rep status,1
schelling conflict mathematics olympiad brain tears championship 25 july 2027 1000 conference hall,1
can send postevent reminder mathematics olympiad brain tears championship 25 july 2027 1000 conference hall,1
can get list attended event september th research block,1
can send invitations theatrical drama performance september th research block,1
can provide information event september th research block,1
how often does international science fair happen,1
can send invite international science fair,1
whats schedule international science fair,1
15 october 2027 1000 sports complex,1
invite annual music night,1
what time annual music night,1
what date industry connect 2026,1
where industry connect 2026 held,1
what time does industry connect 2026 start,1
how do send invites intercollegiate business plan competition ideas matter,1
schelling conflict intercollegiate business plan competition ideas matter,1
what rep status intercollegiate business plan competition ideas matter,1
can get room link national level technical symposium emerging technologies 27 january 2026 1000,1
can remind join national level technical symposium emerging technologies 27 january 2026 1000,1
can set reminder attend national level technical symposium emerging technologies 27 january 2026 1000,1
how do move green energy summit 2026 different date,1
can send invites green energy summit 2026,1
how do set reminder green energy summit 2026,1
31 december 2026 1000 green energy summit 2026 main auditoriums,1
invite green energy summit 2026,1
can remind green energy summit 2026 31 december 2026 1000 main auditoriums,1
23 may 2027 1000 international science fair exploring wonders innovation research block,1
international science fair exploring wonders innovation followup,1
international science fair exploring wonders innovation recurring event management,1
how do schedule reminder grand calumny meet 2026,1
can help find date time grand calumny meet 2026,1
how do send invitations grand calumny meet 2026,1
what date time leadership summit,1
conflict schedule 20 april 2027 1000,1
can remind leadership summit 20 april 2027 1000,1
how do find industry connect 2026,1
can change date industry connect 2026,1
where industry connect 2026 held,1
15 september 2027 1000 literary felt 2026 celebrating power words ideas library conference room,1
conflict literary felt 2026 celebrating power words ideas 15 september 2027 1000,1
can move literary felt 2026 celebrating power words ideas 15 september 2027 1000 different time,1
21 june 2026 1000 international science fair exploring wonders innovation online roomtears,1
send invites international science fair exploring wonders innovation 21 june 2026 1000 am.,1
set reminder international science fair exploring wonders innovation 21 june 2026 1000 am.,1
what time mathematics olympiad brain tears championship 10 october 2026,1
where mathematics olympiad brain tears championship 10 october 2026,1
mathematics olympiad brain tears championship 10 october 2026,1
what time international science fair,1
where international science fair held,1
international science fair open public,1
what date career fair 2026,1
where career fair 2026 held,1
what time does career fair 2026 start,1
30 march 2026 1000 seminar hall b international science fair exploring wonders innovation,1
what time international science fair exploring wonders innovation 30 march 2026,1
where international science fair exploring wonders innovation held 30 march 2026,1
can see schedule national ai seminar,1
conflict appointments december rd 1000,1
can remind national ai seminar december rd 1000,1
can change date industry connect 2026,1
conflict meeting 20 december 2026 1000,1
can send email reminder industry connect 2026,1
how often does national level technical symposium emerging technologies happen,1
can remind when national level technical symposium emerging technologies happening,1
can send information national level technical symposium emerging technologies,1
can see schedule started pitch felt 2026,1
how do register started pitch felt 2026,1
started pitch felt 2026 happening september 2027,1
19 april 2027 1000 annual intercollegiate cultural felt celebrating diversity online roomtears,1
how do set reminder annual intercollegiate cultural felt celebrating diversity 19 april 2027 1000,1
what recurring event management annual intercollegiate cultural felt celebrating diversity,1
02 october 2026 1000 literary felt 2026 student activity center,1
send invites literary felt 2026,1
followup remind literary felt 2026,1
15 december 2027 1000 green energy summit 2026 innovations sustainable power main auditoriums,1
anything else need know green energy summit 2026 innovations sustainable power,1
can remind green energy summit 2026 innovations sustainable power 15 december 2027 1000,1
what date time robotics workshop handson training ai integration,1
where robotics workshop handson training ai integration taking place,1
recurring event robotics workshop handson training ai integration,1
how do move industry connect 2026 different date,1
can tell time industry connect 2026,1
how do cancel industry connect 2026,1
17 july 2026 1000 seminar hall b check events happening time.,1
17 july 2026 1000 seminar hall b set reminder event.,1
17 july 2026 1000 seminar hall b event recurring,1
what date time women teach conference 2026,1
can move women teach conference 2026 different date,1
